iter	Passed	Remaining
0	80	80849
1	82	40931
2	83	27664
3	84	20995
4	85	16936
5	85	14246
6	86	12328
7	87	10902
8	88	9796
9	90	8925
10	90	8178
11	91	7562
12	92	7037
13	93	6571
14	94	6201
15	95	5874
16	96	5600
17	97	5345
18	99	5115
19	100	4910
20	101	4727
21	102	4558
22	103	4408
23	104	4254
24	105	4112
25	106	3985
26	107	3876
27	108	3763
28	109	3659
29	110	3563
30	111	3473
31	112	3388
32	113	3311
33	113	3238
34	114	3169
35	115	3103
36	116	3035
37	117	2973
38	118	2912
39	119	2857
40	119	2805
41	120	2752
42	121	2707
43	122	2663
44	123	2620
45	124	2582
46	125	2543
47	126	2504
48	126	2463
49	127	2427
50	128	2388
51	129	2355
52	130	2328
53	131	2300
54	132	2270
55	132	2241
56	133	2211
57	134	2183
58	135	2156
59	136	2132
60	136	2107
61	137	2082
62	138	2059
63	139	2036
64	139	2013
65	140	1989
66	141	1976
67	142	1955
68	143	1935
69	144	1915
70	144	1896
71	145	1877
72	146	1858
73	147	1839
74	147	1822
75	148	1806
76	149	1789
77	150	1773
78	150	1756
79	151	1741
80	152	1726
81	152	1709
82	153	1690
83	153	1676
84	154	1664
85	155	1651
86	156	1639
87	156	1626
88	157	1614
89	158	1602
90	159	1589
91	159	1578
92	160	1566
93	161	1555
94	162	1544
95	162	1532
96	163	1521
97	164	1510
98	164	1499
99	165	1488
100	166	1477
101	166	1468
102	167	1458
103	168	1449
104	168	1439
105	169	1429
106	170	1420
107	170	1411
108	171	1403
109	172	1396
110	173	1390
111	174	1382
112	174	1373
113	175	1365
114	176	1357
115	177	1350
116	177	1340
117	178	1332
118	179	1325
119	179	1318
120	180	1311
121	181	1302
122	181	1295
123	182	1288
124	183	1281
125	183	1274
126	184	1266
127	185	1261
128	186	1257
129	187	1251
130	187	1245
131	188	1240
132	189	1234
133	189	1227
134	190	1221
135	191	1215
136	192	1209
137	192	1204
138	193	1198
139	194	1192
140	194	1187
141	195	1181
142	196	1175
143	196	1170
144	197	1166
145	198	1161
146	199	1156
147	200	1151
148	200	1146
149	201	1141
150	202	1136
151	202	1131
152	203	1127
153	204	1122
154	205	1118
155	205	1114
156	206	1109
157	207	1104
158	207	1100
159	208	1095
160	209	1089
161	209	1084
162	210	1080
163	211	1076
164	212	1073
165	212	1069
166	213	1065
167	214	1060
168	214	1056
169	215	1052
170	216	1048
171	217	1044
172	217	1040
173	218	1037
174	219	1033
175	219	1029
176	220	1026
177	221	1022
178	222	1018
179	222	1014
180	223	1011
181	224	1008
182	224	1004
183	225	1001
184	226	998
185	227	994
186	227	990
187	228	987
188	229	983
189	230	980
190	230	977
191	231	974
192	232	971
193	233	968
194	233	964
195	234	961
196	234	957
197	235	953
198	236	950
199	236	947
200	237	944
201	238	940
202	239	938
203	239	935
204	240	932
205	241	929
206	241	926
207	242	923
208	243	920
209	244	918
210	244	915
211	245	912
212	246	909
213	246	906
214	247	903
215	248	900
216	248	897
217	249	895
218	250	892
219	250	889
220	251	886
221	252	883
222	252	880
223	253	877
224	253	874
225	254	871
226	255	868
227	256	866
228	256	864
229	257	861
230	257	858
231	258	856
232	259	853
233	259	851
234	260	848
235	261	846
236	262	844
237	263	842
238	263	839
239	264	837
240	265	834
241	265	832
242	266	829
243	266	827
244	267	824
245	268	822
246	268	820
247	269	817
248	270	814
249	270	812
250	271	810
251	272	808
252	272	805
253	273	803
254	274	801
255	274	799
256	275	796
257	276	794
258	277	792
259	277	790
260	278	788
261	279	786
262	279	783
263	280	781
264	281	779
265	281	777
266	282	775
267	283	773
268	283	771
269	284	769
270	285	767
271	285	765
272	286	763
273	287	761
274	288	759
275	288	757
276	289	755
277	290	753
278	290	751
279	291	749
280	292	747
281	292	745
282	293	743
283	294	742
284	295	740
285	295	738
286	296	736
287	296	734
288	297	732
289	298	729
290	298	727
291	299	726
292	300	724
293	300	722
294	301	720
295	302	719
296	303	717
297	303	715
298	304	713
299	305	711
300	305	710
301	306	708
302	307	706
303	307	704
304	308	702
305	309	700
306	309	699
307	310	697
308	310	695
309	311	693
310	312	691
311	312	690
312	313	688
313	314	686
314	315	685
